postcode,distance
3000,0.0
3002,1.56
3003,2.72
3005,1.6
3006,1.04
3008,1.95
3010,2.19
3011,7.47
3012,9.22
3013,7.35
3015,8.31
3016,8.33
3018,13.16
3019,8.3
3020,13.78
3021,17.49
3022,16.25
3023,20.0
3024,33.61
3025,10.74
3026,15.6
3027,19.1
3028,19.06
3029,22.92
3030,28.81
3031,4.37
3032,7.16
3033,17.59
3034,15.83
3036,17.18
3037,21.96
3038,19.78
3039,7.05
3040,9.04
3041,10.63
3042,13.13
3043,15.29
3044,9.35
3045,20.15
3046,12.33
3047,15.4
3048,18.62
3049,19.17
3050,2.19
3051,12.66
3052,2.85
3053,4.12
3054,3.58
3055,7.22
3056,6.13
3057,5.58
3058,8.83
3059,20.38
3060,11.06
3061,19.07
3062,19.26
3063,24.91
3064,27.11
3065,1.71
3066,2.64
3067,2.88
3068,3.6
3070,5.26
3071,7.07
3072,9.02
3073,11.67
3074,15.42
3075,16.64
3076,19.89
3078,6.25
3079,9.37
3081,9.92
3082,18.14
3083,13.45
3084,11.89
3085,12.92
3087,15.69
3088,18.08
3089,28.96
3090,20.87
3091,24.12
3093,13.93
3094,17.28
3095,20.68
3096,25.19
3097,28.62
3099,32.17
3101,7.08
3102,7.21
3103,10.5
3104,10.33
3105,10.88
3106,13.93
3107,13.34
3108,13.83
3109,18.4
3111,60.19
3113,23.87
3114,21.84
3115,27.7
3116,32.11
3121,2.89
3122,5.66
3123,5.69
3124,9.08
3125,13.68
3126,10.19
3127,11.46
3128,13.26
3129,13.65
3130,15.78
3131,18.12
3132,19.21
3133,19.58
3134,23.73
3135,24.26
3136,27.43
3137,29.66
3138,31.92
3139,48.09
3140,33.81
3141,62.46
3142,4.67
3143,5.08
3144,6.98
3145,9.97
3146,9.61
3147,11.58
3148,12.64
3149,16.57
3150,20.23
3151,15.96
3152,23.87
3153,26.52
3154,29.87
3155,27.33
3156,30.24
3158,33.21
3159,38.42
3160,35.55
3161,24.61
3162,8.95
3163,11.24
3164,31.74
3165,14.82
3166,14.48
3167,16.7
3168,18.1
3169,18.88
3170,17.9
3171,22.85
3172,22.7
3173,25.01
3174,24.38
3175,30.13
3177,31.48
3178,26.5
3179,26.42
3180,25.78
3181,5.67
3182,5.55
3183,6.39
3184,8.1
3185,8.43
3186,11.12
3187,10.44
3188,11.92
3189,59.1
3190,15.85
3191,15.77
3192,17.19
3193,19.46
3194,20.59
3195,24.69
3196,29.23
3197,32.03
3198,36.3
3199,39.58
3200,40.58
3201,36.34
3202,27.51
3204,12.64
3205,14.29
3206,3.56
3207,10.36
3211,42.67
3335,29.24
3338,37.63
3427,30.27
3428,24.55
3429,32.23
3750,64.49
3751,15.53
3752,21.04
3754,27.15
3755,30.95
3759,30.56
3760,35.33
3765,32.45
3766,34.88
3767,34.12
3770,39.06
3775,41.89
3781,49.3
3782,44.11
3783,53.18
3785,65.81
3786,33.5
3788,34.93
3789,35.42
3791,39.79
3792,37.95
3793,38.95
3795,39.06
3796,35.7
3797,62.71
3799,68.16
3800,17.97
3802,30.68
3803,33.66
3804,36.93
3805,37.87
3806,39.63
3807,43.05
3808,44.19
3809,49.54
3810,55.64
3812,59.28
3813,63.53
3814,68.41
3815,71.11
3910,42.19
3911,46.0
3912,48.92
3913,53.01
3915,56.31
3916,67.04
3918,60.91
3919,64.65
3926,63.96
3927,65.13
3928,65.15
3929,73.42
3930,42.87
3931,47.84
3933,48.09
3934,54.28
3936,57.8
3937,62.6
3938,29.32
3939,65.38
3941,64.47
3942,63.06
3943,62.31
3944,62.56
3975,36.09
3976,35.6
3977,43.65
3978,49.35
3980,55.27
