postcode,meanCommute,medCommute
3000,18.59,14.04
3001,18.59,14.04
3002,19.25,13.95
3003,26.88,22.1
3004,18.59,14.04
3006,18.85,14.49
3008,21.11,17.24
3011,16.64,12.68
3013,15.77,11.86
3015,17.2,12.86
3016,17.19,12.91
3018,21.17,15.24
3019,15.3,11.28
3020,18.22,12.82
3023,9.47,4.45
3024,12.45,4.61
3025,21.6,16.64
3028,13.73,8.25
3029,15.36,9.09
3031,13.98,8.98
3032,11.74,7.63
3033,11.19,7.77
3036,21.14,16.39
3037,9.48,3.89
3038,10.81,6.37
3039,13.41,8.67
3041,9.34,4.04
3042,15.4,11.41
3043,12.55,8.17
3044,9.6,5.01
3045,24.04,20.3
3046,12.6,9.29
3047,17.61,14.0
3048,9.2,3.83
3051,19.11,14.37
3052,16.61,10.93
3053,16.32,10.39
3055,9.61,4.73
3056,13.24,8.47
3057,11.53,6.38
3058,13.68,9.75
3060,12.18,9.58
3065,14.51,9.13
3066,15.67,10.08
3067,17.29,12.56
3068,11.63,6.49
3070,10.76,6.19
3071,11.58,7.47
3074,17.44,12.29
3075,16.81,11.08
3078,12.0,8.5
3079,11.27,7.83
3081,15.58,11.17
3083,17.25,11.03
3087,9.44,5.87
3088,10.33,6.59
3095,10.08,5.69
3099,10.01,6.07
3101,13.44,9.2
3102,12.13,8.63
3103,10.9,6.96
3104,9.13,5.13
3105,12.18,8.75
3106,9.93,6.16
3107,13.14,8.76
3108,13.22,9.88
3116,11.72,6.63
3122,15.47,10.42
3123,15.64,10.76
3124,14.03,9.59
3125,16.37,12.85
3128,14.56,11.45
3129,9.88,5.82
3130,12.33,8.69
3131,14.05,10.18
3133,12.58,8.83
3134,11.89,7.48
3135,12.09,8.16
3136,16.6,10.7
3137,15.65,9.08
3138,9.47,4.76
3142,13.12,7.6
3143,14.04,8.31
3145,13.96,9.53
3150,11.72,8.43
3151,16.8,12.56
3152,12.92,9.24
3153,17.07,11.02
3154,7.75,2.33
3155,14.13,9.24
3156,10.7,3.2
3163,10.36,5.4
3166,11.94,8.07
3168,18.91,14.52
3169,18.57,14.23
3170,19.87,16.12
3171,14.62,10.8
3172,12.74,8.04
3173,16.16,13.7
3174,17.59,15.84
3175,15.42,11.18
3177,15.14,11.66
3181,15.11,9.9
3182,14.86,10.18
3183,9.65,4.19
3184,8.45,2.99
3185,10.88,5.45
3187,9.94,4.93
3189,9.01,5.06
3193,10.02,4.06
3194,15.81,12.38
3195,19.62,17.12
3196,13.98,11.21
3199,12.29,7.48
3200,12.16,7.29
3201,16.86,12.83
3205,18.35,13.74
3206,17.16,12.48
3207,15.29,10.01
3338,18.06,7.5
3429,13.09,4.24
3750,13.48,7.97
3754,11.79,5.16
3765,12.26,7.27
3782,7.68,3.34
3796,9.93,6.2
3803,19.19,14.59
3804,10.07,6.18
3910,10.84,6.02
3912,14.39,10.92
3929,20.27,14.2
3930,9.62,5.47
3931,14.54,10.81
3934,8.94,2.45
3936,15.15,10.23
3977,13.17,8.3
